Ageina,Ageina tobieni,50.3,55.8
Honrovits,Honrovits tsuwape,50.3,55.8
Microchiroptera,Microchiroptera,46.2,50.3
Chiroptera,Chiroptera,46.2,50.3
Ageina,Ageina,46.2,50.3
Icaronycteris,Icaronycteris,46.2,50.3
Microchiroptera,Microchiroptera,46.2,50.3
Chiroptera,Chiroptera,40.4,46.2
Wallia,Wallia scalopidens,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Microchiroptera,Microchiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,40.4,46.2
Chiroptera,Chiroptera,37.2,40.4
Wallia,Wallia scalopidens,37.2,40.4
Vespertilionoidea,Vespertilionoidea,37.2,40.4
Chiroptera,Chiroptera,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Wallia,Wallia,33.9,37.2
Chadronycteris,Chadronycteris rabenae,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Wallia,Wallia,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Chadronycteris,Chadronycteris rabenae,33.9,37.2
Stehlinia,Stehlinia,33.9,37.2
Chiroptera,Chiroptera,33.9,37.2
Microchiroptera,Microchiroptera,33.9,37.2
Oligomyotis,Oligomyotis,33.3,33.9
Vespertilionidae,Vespertilionidae,33.3,33.9
Phyllostomatidae,Phyllostomatidae,30.8,33.3
Emballonuridae,Emballonuridae,20.43,30.8
Mormoopidae,Mormoopidae,20.43,30.8
Vespertilionidae,Vespertilionidae,20.43,30.8
Oligomyotis,Oligomyotis,26.3,30.8
Vespertilionidae,Vespertilionidae,24.8,30.8
Vespertilionidae,Vespertilionidae,20.43,24.8
Chiroptera,Chiroptera,23.03,28.1
Myotis,Myotis,15.97,20.43
Potamonycteris,Potamonycteris biperforatus,13.6,15.97
Myotis,Myotis,13.6,15.97
Vespertilionidae,Vespertilionidae,13.6,15.97
Eptesicus,Eptesicus,4.9,10.3
Antrozous,Antrozous,13.6,15.97
Antrozous,Antrozous pallidus,4.9,10.3
Chiroptera,Chiroptera,13.6,15.97
Vespertilionidae,Vespertilionidae,13.6,15.97
Antrozous,Antrozous,13.6,15.97
Myotis,Myotis,10.3,13.6
Lasiurus,Lasiurus,10.3,13.6
Vespertilionidae,Vespertilionidae,13.6,15.97
Myotis,Myotis,10.3,13.6
Myotis,Myotis yumanensis,10.3,13.6
Chiroptera,Chiroptera,10.3,13.6
Vespertilionidae,Vespertilionidae,15.97,20.43
Microchiroptera,Microchiroptera,10.3,13.6
Vespertilionidae,Vespertilionidae,4.9,10.3
Vespertilionidae,Vespertilionidae,15.97,20.43
Suaptenos,Suaptenos whitei,15.97,20.43
Miomyotis,Miomyotis floridanus,15.97,20.43
Chiroptera,Chiroptera,15.97,20.43
Antrozous,Antrozous,5.333,23.03
Antrozous,Antrozous,5.333,23.03
Plionycteris,Plionycteris,4.9,10.3
Ancenycteris,Ancenycteris,13.6,15.97
Vespertilionidae,Vespertilionidae,10.3,13.6
Vespertilionidae,Vespertilionidae,4.9,10.3
Chiroptera,Chiroptera,4.9,10.3
Myotis,Myotis,4.9,10.3
Chiroptera,Chiroptera,15.97,20.43
Chiroptera,Chiroptera,13.6,15.97
Chiroptera,Chiroptera,10.3,13.6
Phyllostomatidae,Phyllostomatidae,10.3,13.6
Chiroptera,Chiroptera,13.6,15.97
Chiroptera,Chiroptera,13.6,15.97
Chiroptera,Chiroptera,13.6,15.97
Chiroptera,Chiroptera,13.6,15.97
Chiroptera,Chiroptera,13.6,15.97
Phyllostomatidae,Phyllostomatidae,15.97,20.43
Myotis,Myotis,1.8,4.9
Lasiurus,Lasiurus,1.8,4.9
Eumops,Eumops perotis,1.8,4.9
Histiotus,Histiotus stocki,1.8,4.9
Antrozous,Antrozous pallidus,1.8,4.9
Eptesicus,Eptesicus fuscus,1.8,4.9
Tadarida,Tadarida,1.8,4.9
Lasiurus,Lasiurus fossilis,1.8,4.9
Antrozous,Antrozous pallidus,1.8,4.9
Lasiurus,Lasiurus fossilis,1.8,4.9
Lasiurus,Lasiurus fossilis,1.8,4.9
Lasiurus,Lasiurus,1.8,4.9
Myotis,Myotis,1.8,10.3
Antrozous,Antrozous pallidus,1.8,10.3
Antrozous,Antrozous,1.8,4.9
Myotis,Myotis,1.8,4.9
Lasionycteris,Lasionycteris noctivagans,1.8,4.9
Eptesicus,Eptesicus fuscus,1.8,4.9
