Antrozous,Antrozous pallidus,1.8,4.9
Lasiurus,Lasiurus fossilis,1.8,4.9
Lasiurus,Lasiurus fossilis,1.8,4.9
Antrozous,Antrozous pallidus,1.8,10.3
Lasionycteris,Lasionycteris noctivagans,1.8,4.9
Eptesicus,Eptesicus fuscus,1.8,4.9
Lasiurus,Lasiurus borealis,1.8,4.9
Antrozous,Antrozous pallidus,1.8,4.9
Anzanycteris,Anzanycteris anzensis,1.8,4.9
Anzanycteris,Anzanycteris anzensis,1.8,4.9
Eptesicus,Eptesicus fuscus,0.3,1.8
Pipistrellus,Pipistrellus subflavus,0.3,1.8
Myotis,Myotis austroriparius,0.3,1.8
Plecotus,Plecotus rafinesquii,0.3,1.8
Eptesicus,Eptesicus fuscus,0.3,1.8
Myotis,Myotis leibi,0.3,1.8
Lasiurus,Lasiurus cinereus,0.3,1.8
Lasiurus,Lasiurus golliheri,0.3,1.8
Eptesicus,Eptesicus fuscus,0.3,1.8
Plecotus,Plecotus alleganiensis,0.3,1.8
Desmodus,Desmodus archaeodaptes,0.3,1.8
Myotis,Myotis austroriparius,0.3,1.8
Desmodus,Desmodus archaeodaptes,0.3,1.8
Myotis,Myotis austroriparius,0.3,1.8
Desmodus,Desmodus archaeodaptes,1.8,4.9
Pipistrellus,Pipistrellus subflavus,1.8,4.9
Lasiurus,Lasiurus cinereus,0.3,1.8
Myotis,Myotis velifer,0.3,1.8
Myotis,Myotis thysanodes,0.3,1.8
Desmodus,Desmodus stocki,0.012,0.3
Myotis,Myotis austroriparius,0.012,0.3
Lasiurus,Lasiurus borealis,0.012,0.3
Lasiurus,Lasiurus intermedius,0.012,0.3
Tadarida,Tadarida brasiliensis,0.012,0.3
Pipistrellus,Pipistrellus subflavus,0.3,1.8
Eptesicus,Eptesicus fuscus,0.3,1.8
Myotis,Myotis austroriparius,0.0117,0.126
Desmodus,Desmodus stocki,0.0117,0.126
Myotis,Myotis austroriparius,0.0117,0.126
Lasiurus,Lasiurus intermedius,0.0117,0.126
Desmodus,Desmodus stocki,0.0117,0.126
Pipistrellus,Pipistrellus subflavus,0.0117,0.126
Lasiurus,Lasiurus intermedius,0.0117,0.126
Myotis,Myotis austroriparius,0.0117,0.126
Myotis,Myotis austroriparius,0.0117,0.126
Artibeus,Artibeus jamaicensis,0,0.0117
Desmodus,Desmodus rotundus,0,0.0117
Trachops,Trachops cirrhosus,0,0.0117
Noctilio,Noctilio leporinus,0,0.0117
Noctilio,Noctilio albiventris,0,0.0117
Eumops,Eumops glaucinus,0,0.0117
Lasiurus,Lasiurus borealis,0,0.0117
Karstala,Karstala silva,15.97,20.43
Rhinolophus,Rhinolophus delphinensis,4.2,4.9
Plecotus,Plecotus crassidens,4.2,4.9
Rhinolophus,Rhinolophus ferrumequinum,1.806,2.588
Rhinolophus,Rhinolophus delphinensis,3.2,4.2
Rhinolophus,Rhinolophus grivensis,3.2,4.2
Plecotus,Plecotus crassidens,3.2,4.2
Myotis,Myotis helleri,3.2,4.2
Rhinolophus,Rhinolophus grivensis,4.2,4.9
Plecotus,Plecotus auritus,0.0117,2.588
Rhinolophus,Rhinolophus ferrumequinum,0.0117,2.588
Rhinolophus,Rhinolophus euryale,0.0117,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Myotis,Myotis boyeri,5.333,11.608
Miniopterus,Miniopterus fossilis,5.333,11.608
Rhinolophus,Rhinolophus ferrumequinum,0.0117,5.333
Eptesicus,Eptesicus praeglacialis,2.588,3.2
Rhinolophus,Rhinolophus ferrumequinum,2.588,3.2
Rhinolophus,Rhinolophus ferrumequinum,2.588,3.2
Rhinolophus,Rhinolophus euryale,2.588,3.2
Rhinolophus,Rhinolophus ferrumequinum,2.588,3.2
Rhinolophus,Rhinolophus ferrumequinum,0.126,0.781
Plecotus,Plecotus auritus,0.126,0.781
Rhinolophus,Rhinolophus ferrumequinum,0.126,0.781
Plecotus,Plecotus auritus,0.126,0.781
Primonatalus,Primonatalus prattae,15.97,20.43
Plecotus,Plecotus auritus,0.126,2.588
Myotis,Myotis myotis,0.0117,2.588
Myotis,Myotis myotis,0.0117,2.588
Rhinolophus,Rhinolophus grivensis,0.0117,2.588
Rhinolophus,Rhinolophus grivensis,15.97,20.44
Hipposideros,Hipposideros (Brachipposideros) dechaseauxi,15.97,20.44
Hipposideros,Hipposideros (Pseudorhinolophus) bouziguensis,15.97,20.44
Asellia,Asellia mariaetheresae,15.97,20.44
Icaronycteris,Icaronycteris index,50.3,55.8
Eptesicus,Eptesicus campanensis,12.75,13.65
Myotis,Myotis lucifugus,0.0117,2.588
Myotis,Myotis grisescens,0.0117,2.588
Pipistrellus,Pipistrellus subflavus,0.0117,2.588
Eptesicus,Eptesicus fuscus,0.0117,2.588
Rhinolophus,Rhinolophus ferrumequinum,0.781,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Eppsinycteris,Eppsinycteris anglica,47.8,56
Rhinolophus,Rhinolophus ferrumequinum,0.126,0.781
Rhinolophus,Rhinolophus euryale,0.781,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Rhinolophus,Rhinolophus euryale,0.781,2.588
Rhinolophus,Rhinolophus ferrumequinum,0.0117,0.126
Myotis,Myotis myotis,0.0117,0.126
Vespertilio,Vespertilio murinus,0.0117,0.126
Myotis,Myotis myotis,0.0117,0.126
Myotis,Myotis myotis,0.0117,0.126
Vespertiliavus,Vespertiliavus gracilis,38,41.3
Palaeophyllophora,Palaeophyllophora quercyi,38,41.3
Hipposideros,Hipposideros schlosseri,38,41.3
Hipposideros,Hipposideros schlosseri,38,41.3
Cecilionycteris,Cecilionycteris prisca,41.3,47.8
Myotis,Myotis murinoides,11.1,12.75
Rhinolophus,Rhinolophus delphinensis,13.65,15.97
Eptesicus,Eptesicus campanensis,13.65,15.97
Hipposideros,Hipposideros morloti,33.9,38
Hipposideros,Hipposideros schlosseri,33.9,38
Hipposideros,Hipposideros morloti,33.9,38
Hipposideros,Hipposideros schlosseri,33.9,38
Palaeophyllophora,Palaeophyllophora quercyi,33.9,38
Rhinolophus,Rhinolophus priscus,33.9,38
Hipposideros,Hipposideros schlosseri,33.9,38
Palaeophyllophora,Palaeophyllophora oltina,33.9,38
Rhinolophus,Rhinolophus priscus,33.9,38
Vespertiliavus,Vespertiliavus gracilis,33.9,38
Stehlinia,Stehlinia gracilis,33.9,38
Hipposideros,Hipposideros morloti,33.9,37.2
Rhinolophus,Rhinolophus priscus,33.9,38
Hipposideros,Hipposideros schlosseri,33.9,37.2
Hipposideros,Hipposideros morloti,33.9,37.2
