      1 "Astaracian"
      3 "Barstovian"
     11 "Bartonian"
     11 "Blancan"
      2 "Bridgerian"
      5 "Burdigalian"
      3 "Chadronian"
      2 "Clarendonian"
      1 "Colhuehuapian"
      2 "Early Barstovian"
      2 "Early Eocene"
      6 "Early Miocene"
      6 "Early Oligocene"
     40 "Early Pleistocene"
      5 "Early Pliocene"
      2 "Friasian"
      2 "Gelasian"
      2 "Geringian"
      3 "Hemphillian"
     61 "Holocene"
     12 "Irvingtonian"
      1 "Late Clarendonian"
      7 "Late Eocene"
      1 "Late Hemingfordian"
      3 "Late Hemphillian"
      4 "Late Miocene"
     95 "Late Pleistocene"
      4 "Late Pliocene"
      1 "Laventan"
      4 "Lutetian"
      1 "Messinian"
      9 "Middle Miocene"
     61 "Middle Pleistocene"
      2 "Miocene"
      4 "MN 10"
      3 "MN 11"
      6 "MN 14"
      5 "MN 15"
      2 "MN 16"
      2 "MN 17"
      1 "MN 2"
      2 "MN 4"
      2 "MN 5"
      1 "MN 7 + 8"
      4 "MN 9"
      2 "MP 11"
      4 "MP 13"
      1 "MP 20"
      1 "MP 24"
      1 "MP 26"
      1 "Orellan"
     46 "Pleistocene"
     21 "Pliocene"
     15 "Priabonian"
      1 "Quaternary"
      3 "Rupelian"
      3 "Ruscinian"
      2 "Sharamurunian"
      9 "Turolian"
      9 "Villanyian"
      2 "Ypresian"
