185407,occ,5732,,18198,Antrozous pallidus,species,52646,Hemphillian,,10.3,4.9,1296,YES
187428,occ,,,18463,Myotis yumanensis,species,52651,Clarendonian,,13.6,10.3,1317,YES
193102,occ,8427,,19638,Eumops perotis,species,48789,Blancan,,4.9,1.8,1295,YES
193167,occ,8444,,19650,Antrozous pallidus,species,52646,Blancan,,4.9,1.8,1295,YES
193473,occ,,,19708,Eptesicus fuscus,species,52640,Blancan,,4.9,1.8,1295,YES
194124,occ,,,19908,Antrozous pallidus,species,52646,Blancan,,4.9,1.8,3404,YES
194780,occ,,,19966,Antrozous pallidus,species,52646,Hemphillian,Blancan,10.3,1.8,1295,YES
195187,occ,,,20060,Lasionycteris noctivagans,species,52645,Blancan,,4.9,1.8,6330,YES
195188,occ,,,20060,Eptesicus fuscus,species,52640,Blancan,,4.9,1.8,6330,YES
195189,occ,,,20060,Lasiurus borealis,species,52636,Blancan,,4.9,1.8,6330,YES
195190,occ,,,20060,Antrozous pallidus,species,52646,Blancan,,4.9,1.8,6330,YES
196173,occ,,,20164,Eptesicus fuscus,species,52640,Irvingtonian,,1.8,0.3,1319,YES
196796,occ,,,20289,Pipistrellus subflavus,species,52648,Irvingtonian,,1.8,0.3,2436,YES
196797,occ,,,20289,Myotis austroriparius,species,52635,Irvingtonian,,1.8,0.3,2436,YES
196798,occ,,,20289,Plecotus rafinesquii,species,52647,Irvingtonian,,1.8,0.3,2436,YES
196840,occ,9343,,20290,Eptesicus fuscus,species,52640,Irvingtonian,,1.8,0.3,6294,YES
196841,occ,,,20290,Myotis leibi,species,52643,Irvingtonian,,1.8,0.3,6221,YES
196917,occ,,,20295,Lasiurus cinereus,species,52638,Irvingtonian,,1.8,0.3,1907,YES
197031,occ,9391,,20302,Eptesicus fuscus,species,52640,Irvingtonian,,1.8,0.3,6294,YES
197543,occ,,,20350,Myotis austroriparius,species,52635,Irvingtonian,,1.8,0.3,2611,YES
197570,occ,,,20351,Myotis austroriparius,species,52635,Irvingtonian,,1.8,0.3,2611,YES
197772,occ,,,20384,Pipistrellus subflavus,species,52648,Blancan,,4.9,1.8,3580,YES
198174,occ,,,20423,Lasiurus cinereus,species,52638,Irvingtonian,,1.8,0.3,1887,YES
198305,occ,,,20444,Myotis velifer,species,52649,Irvingtonian,,1.8,0.3,1298,YES
198314,occ,,,20445,Myotis thysanodes,species,48918,Irvingtonian,,1.8,0.3,1298,YES
198581,occ,,,20491,Myotis austroriparius,species,52635,Rancholabrean,,0.3,0.012,3580,YES
198582,occ,,,20491,Lasiurus borealis,species,52636,Rancholabrean,,0.3,0.012,3580,YES
198583,occ,,,20491,Lasiurus intermedius,species,47494,Rancholabrean,,0.3,0.012,3580,YES
198584,occ,,,20491,Tadarida brasiliensis,species,49249,Rancholabrean,,0.3,0.012,3580,YES
199032,occ,,,20554,Pipistrellus subflavus,species,52648,Irvingtonian,,1.8,0.3,6221,YES
199033,occ,,,20554,Eptesicus fuscus,species,52640,Irvingtonian,,1.8,0.3,6221,YES
199260,occ,,,20572,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3567,YES
199284,occ,,,20573,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3580,YES
199285,occ,,,20573,Lasiurus intermedius,species,47494,Late Pleistocene,,0.126,0.0117,3580,YES
199443,occ,,,20595,Pipistrellus subflavus,species,52648,Late Pleistocene,,0.126,0.0117,3567,YES
199444,occ,,,20595,Lasiurus intermedius,species,47494,Late Pleistocene,,0.126,0.0117,3567,YES
199578,occ,,,20608,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3567,YES
199799,occ,,,20634,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3567,YES
212882,occ,,,21686,Artibeus jamaicensis,species,160956,Holocene,,0.0117,0,4785,YES
212884,occ,,,21686,Desmodus rotundus,species,235347,Holocene,,0.0117,0,4785,YES
212894,occ,,,21686,Trachops cirrhosus,species,117399,Holocene,,0.0117,0,4785,YES
212903,occ,,,21686,Noctilio leporinus,species,104144,Holocene,,0.0117,0,4785,YES
212904,occ,,,21686,Noctilio albiventris,species,269558,Holocene,,0.0117,0,4785,YES
212915,occ,,,21686,Eumops glaucinus,species,45958,Holocene,,0.0117,0,4785,YES
212927,occ,,,21686,Lasiurus borealis,species,52636,Holocene,,0.0117,0,4785,YES
344815,occ,,,32485,Rhinolophus ferrumequinum,species,236716,MN 17,,2.588,1.806,8762,YES
360298,occ,,,34127,Plecotus auritus,species,104145,Pleistocene,,2.588,0.0117,8650,YES
360355,occ,,,34128,Rhinolophus ferrumequinum,species,236716,Pleistocene,,2.588,0.0117,8987,YES
360356,occ,,,34128,Rhinolophus euryale,species,94476,Pleistocene,,2.588,0.0117,8987,YES
369034,occ,,,34911,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,9372,YES
370464,occ,,,35076,Rhinolophus ferrumequinum,species,236716,Pliocene,Pleistocene,5.333,0.0117,9424,YES
374141,occ,,,35369,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
374197,occ,,,35370,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
374198,occ,,,35370,Rhinolophus euryale,species,94476,Villanyian,,3.2,2.588,9534,YES
374242,occ,,,35371,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
375965,occ,,,35472,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES
375974,occ,,,35472,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES
376062,occ,,,35476,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES
376077,occ,,,35476,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES
379646,occ,,,35907,Plecotus auritus,species,104145,Early Pleistocene,Middle Pleistocene,2.588,0.126,9643,YES
